learning_rate,batch_size,sampling,optimizer,train_epochs,pretrained_weights,dense_layers,max_val_acc,min_val_loss,test_acc,test_loss,plot
0.005,192,oversample,std_adam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9233871102333069,0.2032736986875534,0.9239130616188049,0.22169050574302673,"<a href=""imgs/76.jpg"" data-lightbox=""train""><img src=""imgs/76.jpg"" width=""75px""></a>"
0.005,192,oversample,radam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9395161271095276,0.18408340215682983,0.9347826242446899,0.17120836675167084,"<a href=""imgs/77.jpg"" data-lightbox=""train""><img src=""imgs/77.jpg"" width=""75px""></a>"
0.005,192,oversample,rmsprop,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9254032373428345,0.2220466434955597,0.9202898740768433,0.24838359653949738,"<a href=""imgs/78.jpg"" data-lightbox=""train""><img src=""imgs/78.jpg"" width=""75px""></a>"
0.005,192,oversample,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9314516186714172,0.17239804565906525,0.9384058117866516,0.16988812386989594,"<a href=""imgs/79.jpg"" data-lightbox=""train""><img src=""imgs/79.jpg"" width=""75px""></a>"
0.005,192,oversample,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9375,0.17466364800930023,0.9275362491607666,0.1874518245458603,"<a href=""imgs/80.jpg"" data-lightbox=""train""><img src=""imgs/80.jpg"" width=""75px""></a>"
0.005,192,oversample,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9274193644523621,0.2313317358493805,0.8985507488250732,0.2354186475276947,"<a href=""imgs/81.jpg"" data-lightbox=""train""><img src=""imgs/81.jpg"" width=""75px""></a>"
0.005,192,oversample,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9274193644523621,0.18793340027332306,0.9347826242446899,0.21499726176261902,"<a href=""imgs/82.jpg"" data-lightbox=""train""><img src=""imgs/82.jpg"" width=""75px""></a>"
0.005,192,oversample,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9395161271095276,0.16759994626045227,0.9239130616188049,0.18791578710079193,"<a href=""imgs/83.jpg"" data-lightbox=""train""><img src=""imgs/83.jpg"" width=""75px""></a>"
0.005,192,oversample,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9213709831237793,0.22608153522014618,0.8985507488250732,0.2787558138370514,"<a href=""imgs/84.jpg"" data-lightbox=""train""><img src=""imgs/84.jpg"" width=""75px""></a>"
0.005,192,subsample,std_adam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9193548560142517,0.20403942465782166,0.9130434989929199,0.21322327852249146,"<a href=""imgs/85.jpg"" data-lightbox=""train""><img src=""imgs/85.jpg"" width=""75px""></a>"
